1.000	0.800	0.200
1.000	0.800	0.200
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.000	0.200	0.800
0.200	0.400	0.600
0.200	0.400	0.600
0.500	0.500	0.500
0.200	0.000	1.000
0.200	0.000	1.000
0.200	0.000	1.000
0.200	0.000	1.000
0.200	0.000	1.000
0.200	0.000	1.000
0.200	0.200	0.800
0.200	0.200	0.800
0.530	0.550	0.450
0.800	1.000	0.000
0.800	1.000	0.000
0.400	0.200	0.800
0.400	0.200	0.800
0.400	0.200	0.800
0.300 	0.300	0.700
